Date,rcp8.5
1/1/1980,-5.1415
2/1/1980,-8.022
3/1/1980,3.538
4/1/1980,6.261
5/1/1980,9.5195
6/1/1980,14.613
7/1/1980,18.516
8/1/1980,16.6865
9/1/1980,11.6025
10/1/1980,2.792
11/1/1980,-2.423
12/1/1980,-7.633
1/1/1981,-7.3735
2/1/1981,-2.0655
3/1/1981,2.5585
4/1/1981,5.7645
5/1/1981,8.691
6/1/1981,16.1755
7/1/1981,18.698
8/1/1981,18.773
9/1/1981,14.239
10/1/1981,8.626
11/1/1981,-1.334
12/1/1981,-5.4885
1/1/1982,-7.3295
2/1/1982,-5.7545
3/1/1982,2.872
4/1/1982,6.636
5/1/1982,10.5785
6/1/1982,13.751
7/1/1982,18.4385
8/1/1982,16.1
9/1/1982,12.1835
10/1/1982,6.261
11/1/1982,1.237
12/1/1982,-5.5125
1/1/1983,-10.7485
2/1/1983,-1.2385
3/1/1983,0.2035
4/1/1983,1.541
5/1/1983,9.3015
6/1/1983,12.6855
7/1/1983,19.7955
8/1/1983,18.7345
9/1/1983,13.609
10/1/1983,6.8205
11/1/1983,-0.105
12/1/1983,-5.2705
1/1/1984,-3.816
2/1/1984,0.7235
3/1/1984,-0.9325
4/1/1984,7.477
5/1/1984,9.251
6/1/1984,14.001
7/1/1984,18.495
8/1/1984,16.1415
9/1/1984,13.394
10/1/1984,6.067
11/1/1984,-2.514
12/1/1984,-5.3355
1/1/1985,-7.762
2/1/1985,-6.0395
3/1/1985,0.4785
4/1/1985,3.222
5/1/1985,10.926
6/1/1985,15.9765
7/1/1985,18.041
8/1/1985,17.9335
9/1/1985,14.3975
10/1/1985,7.0425
11/1/1985,1.0085
12/1/1985,-5.781
1/1/1986,-1.5835
2/1/1986,-4.4995
3/1/1986,0.989
4/1/1986,4.527
5/1/1986,10.3595
6/1/1986,12.3615
7/1/1986,20.2455
8/1/1986,18.085
9/1/1986,12.564
10/1/1986,7.0445
11/1/1986,-2.1085
12/1/1986,-4.9415
1/1/1987,-7.971
2/1/1987,-3.7155
3/1/1987,-1.047
4/1/1987,4.3265
5/1/1987,8.397
6/1/1987,12.7975
7/1/1987,18.6155
8/1/1987,17.255
9/1/1987,13.276
10/1/1987,9.807
11/1/1987,1.039
12/1/1987,-6.6365
1/1/1988,-2.8475
2/1/1988,-5.487
3/1/1988,-0.631
4/1/1988,5.077
5/1/1988,8.3745
6/1/1988,17.1615
7/1/1988,19.4885
8/1/1988,16.62
9/1/1988,13.365
10/1/1988,5.21
11/1/1988,-0.514
12/1/1988,-5.8375
1/1/1989,-7.5835
2/1/1989,-0.6875
3/1/1989,-2.882
4/1/1989,2.436
5/1/1989,12.608
6/1/1989,13.9705
7/1/1989,18.958
8/1/1989,20.1395
9/1/1989,13.294
10/1/1989,7.164
11/1/1989,-2.207
12/1/1989,-5.8865
1/1/1990,-1.6205
2/1/1990,-9.0805
3/1/1990,1.542
4/1/1990,2.882
5/1/1990,12.132
6/1/1990,17.2495
7/1/1990,20.15
8/1/1990,18.812
9/1/1990,14.668
10/1/1990,4.975
11/1/1990,-1.1235
12/1/1990,-6.0805
1/1/1991,-6.7435
2/1/1991,-5.264
3/1/1991,-1.0415
4/1/1991,1.227
5/1/1991,6.7465
6/1/1991,12.9
7/1/1991,18.4805
8/1/1991,18.655
9/1/1991,11.545
10/1/1991,4.262
11/1/1991,3.151
12/1/1991,-7.3735
1/1/1992,-4.4965
2/1/1992,-2.3675
3/1/1992,1.423
4/1/1992,5.891
5/1/1992,8.9745
6/1/1992,13.493
7/1/1992,18.982
8/1/1992,16.729
9/1/1992,12.267
10/1/1992,4.4885
11/1/1992,-4.629
12/1/1992,-10.8175
1/1/1993,-5.3885
2/1/1993,-4.5355
3/1/1993,-1.251
4/1/1993,3.6105
5/1/1993,10.968
6/1/1993,15.179
7/1/1993,20.1395
8/1/1993,19.156
9/1/1993,13.077
10/1/1993,6.5375
11/1/1993,1.182
12/1/1993,-3.2575
1/1/1994,-2.2485
2/1/1994,-3.866
3/1/1994,-0.494
4/1/1994,4.612
5/1/1994,11.5365
6/1/1994,15.8505
7/1/1994,19.136
8/1/1994,19.4845
9/1/1994,15.9005
10/1/1994,8.307
11/1/1994,0.466
12/1/1994,-2.6615
1/1/1995,-7.1875
2/1/1995,-5.4375
3/1/1995,2.387
4/1/1995,6.8685
5/1/1995,7.7645
6/1/1995,15.3235
7/1/1995,18.6015
8/1/1995,17.755
9/1/1995,11.157
10/1/1995,8.1425
11/1/1995,2.241
12/1/1995,-7.5665
1/1/1996,-8.7715
2/1/1996,-4.5615
3/1/1996,-2.7975
4/1/1996,3.386
5/1/1996,10.2715
6/1/1996,12.71
7/1/1996,18.7505
8/1/1996,18.654
9/1/1996,14.114
10/1/1996,6.602
11/1/1996,0.1285
12/1/1996,-2.4175
1/1/1997,-9.0815
2/1/1997,-2.6455
3/1/1997,-2.036
4/1/1997,2.5485
5/1/1997,9.824
6/1/1997,14.4965
7/1/1997,18.0125
8/1/1997,18.201
9/1/1997,14.563
10/1/1997,5.275
11/1/1997,0.9355
12/1/1997,-5.82
1/1/1998,-7.8035
2/1/1998,-5.975
3/1/1998,-0.7765
4/1/1998,3.407
5/1/1998,8.163
6/1/1998,14.653
7/1/1998,19.7035
8/1/1998,19.749
9/1/1998,14.651
10/1/1998,8.1345
11/1/1998,-4.0545
12/1/1998,-3.818
1/1/1999,-6.578
2/1/1999,-2.7225
3/1/1999,1.699
4/1/1999,4.6865
5/1/1999,10.967
6/1/1999,16.038
7/1/1999,19.8705
8/1/1999,18.632
9/1/1999,13.773
10/1/1999,5.315
11/1/1999,-1.375
12/1/1999,-3.153
1/1/2000,-5.0085
2/1/2000,-6.3785
3/1/2000,-1.4155
4/1/2000,6.582
5/1/2000,12.121
6/1/2000,15.6055
7/1/2000,19.829
8/1/2000,18.112
9/1/2000,12.0675
10/1/2000,5.27
11/1/2000,1.244
12/1/2000,-7.6245
1/1/2001,-6.6945
2/1/2001,-8.1265
3/1/2001,-6.2425
4/1/2001,5.1915
5/1/2001,7.886
6/1/2001,12.703
7/1/2001,18.7205
8/1/2001,17.502
9/1/2001,12.4815
10/1/2001,8.256
11/1/2001,3.368
12/1/2001,-5.956
1/1/2002,-3.3015
2/1/2002,-1.856
3/1/2002,-3.009
4/1/2002,5.8935
5/1/2002,11.432
6/1/2002,15.481
7/1/2002,18.0355
8/1/2002,19.025
9/1/2002,14.826
10/1/2002,7.622
11/1/2002,2.353
12/1/2002,-2.698
1/1/2003,-4.0765
2/1/2003,-1.1885
3/1/2003,5.6455
4/1/2003,7.536
5/1/2003,10.8
6/1/2003,14.4345
7/1/2003,19.5605
8/1/2003,18.6915
9/1/2003,12.2235
10/1/2003,6.347
11/1/2003,-0.113
12/1/2003,-6.1605
1/1/2004,-3.6745
2/1/2004,-2.7345
3/1/2004,3.1775
4/1/2004,3.502
5/1/2004,7.602
6/1/2004,15.094
7/1/2004,18.151
8/1/2004,18.2025
9/1/2004,12.8585
10/1/2004,7.815
11/1/2004,-0.179
12/1/2004,-6.9425
1/1/2005,-8.0565
2/1/2005,-1.281
3/1/2005,0.02
4/1/2005,6.071
5/1/2005,8.775
6/1/2005,14.7355
7/1/2005,18.7865
8/1/2005,17.886
9/1/2005,12.162
10/1/2005,8.835
11/1/2005,-1.059
12/1/2005,-1.779
1/1/2006,-7.1545
2/1/2006,-1.1015
3/1/2006,4.2685
4/1/2006,5.414
5/1/2006,8.941
6/1/2006,13.0905
7/1/2006,20.1685
8/1/2006,18.69
9/1/2006,15.313
10/1/2006,8.4165
11/1/2006,-1.6145
12/1/2006,-5.321
1/1/2007,-6.2415
2/1/2007,-6.2555
3/1/2007,3.5735
4/1/2007,4.791
5/1/2007,8.066
6/1/2007,13.558
7/1/2007,19.9805
8/1/2007,18.673
9/1/2007,13.9015
10/1/2007,4.416
