Date,rcp2.3
1/1/1980,-0.2925
2/1/1980,-2.836
3/1/1980,9.1115
4/1/1980,11.8555
5/1/1980,15.221
6/1/1980,20.586
7/1/1980,24.8895
8/1/1980,22.856
9/1/1980,17.2735
10/1/1980,8.1175
11/1/1980,2.762
12/1/1980,-2.6365
1/1/1981,-2.452
2/1/1981,3.2455
3/1/1981,8.3605
4/1/1981,11.3435
5/1/1981,14.2305
6/1/1981,22.368
7/1/1981,24.998
8/1/1981,24.996
9/1/1981,19.893
10/1/1981,13.876
11/1/1981,3.8495
12/1/1981,-0.5065
1/1/1982,-2.505
2/1/1982,-0.591
3/1/1982,8.4115
4/1/1982,12.202
5/1/1982,16.175
6/1/1982,19.779
7/1/1982,24.704
8/1/1982,22.249
9/1/1982,17.8785
10/1/1982,11.491
11/1/1982,6.3555
12/1/1982,-0.6165
1/1/1983,-6.04
2/1/1983,4.041
3/1/1983,5.9175
4/1/1983,7.037
5/1/1983,14.9765
6/1/1983,18.6935
7/1/1983,26.178
8/1/1983,24.8275
9/1/1983,19.309
10/1/1983,12.049
11/1/1983,4.9905
12/1/1983,-0.36
1/1/1984,0.9945
2/1/1984,6.116
3/1/1984,4.7655
4/1/1984,13.054
5/1/1984,14.9145
6/1/1984,19.989
7/1/1984,24.85
8/1/1984,22.2805
9/1/1984,19.037
10/1/1984,11.3095
11/1/1984,2.7515
12/1/1984,-0.358
1/1/1985,-2.957
2/1/1985,-0.6675
3/1/1985,6.145
4/1/1985,8.737
5/1/1985,16.6165
6/1/1985,22.252
7/1/1985,24.441
8/1/1985,24.1895
9/1/1985,20.1365
10/1/1985,12.303
11/1/1985,6.1355
12/1/1985,-0.8175
1/1/1986,3.3035
2/1/1986,0.9335
3/1/1986,6.6325
4/1/1986,10.0155
5/1/1986,16.0245
6/1/1986,18.3345
7/1/1986,26.6405
8/1/1986,24.264
9/1/1986,18.3105
10/1/1986,12.3105
11/1/1986,3.184
12/1/1986,0.069
1/1/1987,-3.189
2/1/1987,1.634
3/1/1987,4.666
4/1/1987,9.816
5/1/1987,14.043
6/1/1987,18.7265
7/1/1987,24.9135
8/1/1987,23.461
9/1/1987,18.965
10/1/1987,15.1195
11/1/1987,6.1815
12/1/1987,-1.6505
1/1/1988,2.044
2/1/1988,0.127
3/1/1988,5.066
4/1/1988,10.738
5/1/1988,14.0165
6/1/1988,23.291
7/1/1988,25.97
8/1/1988,22.794
