Date,rcp8.5
1/1/1980,100
2/1/1980,100
3/1/1980,92.53053979
4/1/1980,92.35117247
5/1/1980,95.48110731
6/1/1980,85.59226039
7/1/1980,83.22276825
8/1/1980,88.20519024
9/1/1980,96.49424819
10/1/1980,100
11/1/1980,100
12/1/1980,100
1/1/1981,100
2/1/1981,100
3/1/1981,99.1667552
4/1/1981,95.57170582
5/1/1981,100
6/1/1981,77.43266753
7/1/1981,82.28067061
8/1/1981,77.34423518
9/1/1981,81.21884677
10/1/1981,87.1728262
11/1/1981,100
12/1/1981,100
1/1/1982,100
2/1/1982,100
3/1/1982,96.98671803
4/1/1982,89.99901583
5/1/1982,88.95477706
6/1/1982,90.50339612
7/1/1982,83.62760603
8/1/1982,91.55888455
9/1/1982,92.86995687
10/1/1982,100
11/1/1982,100
12/1/1982,100
1/1/1983,100
2/1/1983,100
3/1/1983,100
4/1/1983,100
5/1/1983,96.890039
6/1/1983,97.01553605
7/1/1983,76.8471099
8/1/1983,77.53051949
9/1/1983,84.606037
10/1/1983,98.57831243
11/1/1983,100
12/1/1983,100
1/1/1984,100
2/1/1984,88.23950504
3/1/1984,100
4/1/1984,84.96331126
5/1/1984,97.21972581
6/1/1984,89.04730333
7/1/1984,83.33224859
8/1/1984,91.31693805
9/1/1984,85.79796397
10/1/1984,100
11/1/1984,100
12/1/1984,100
1/1/1985,100
2/1/1985,100
3/1/1985,100
4/1/1985,100
5/1/1985,86.92315001
6/1/1985,78.42174799
7/1/1985,85.73907656
8/1/1985,81.52273299
9/1/1985,80.39077079
10/1/1985,97.08985121
11/1/1985,100
12/1/1985,100
1/1/1986,89.6565923
2/1/1986,100
3/1/1986,100
4/1/1986,100
5/1/1986,90.26240149
6/1/1986,99.09855714
7/1/1986,74.73663696
8/1/1986,80.75029347
9/1/1986,90.57902201
10/1/1986,97.07655623
11/1/1986,100
12/1/1986,100
1/1/1987,100
2/1/1987,100
3/1/1987,100
4/1/1987,100
5/1/1987,100
6/1/1987,96.30691541
7/1/1987,82.7062293
8/1/1987,85.08536681
9/1/1987,86.46012227
10/1/1987,80.51261446
11/1/1987,100
12/1/1987,100
1/1/1988,98.42739029
2/1/1988,100
3/1/1988,100
4/1/1988,100
5/1/1988,100
6/1/1988,72.73382331
7/1/1988,78.32530907
8/1/1988,88.57843643
9/1/1988,85.96016991
10/1/1988,100
11/1/1988,100
12/1/1988,100
1/1/1989,100
2/1/1989,97.74242033
3/1/1989,100
4/1/1989,100
5/1/1989,77.79549292
6/1/1989,89.22353355
7/1/1989,80.95550811
8/1/1989,71.04675734
9/1/1989,86.35874623
10/1/1989,96.28585905
11/1/1989,100
12/1/1989,100
1/1/1990,89.90062427
2/1/1990,100
3/1/1990,100
4/1/1990,100
5/1/1990,80.26478582
6/1/1990,72.33024426
7/1/1990,75.17902815
8/1/1990,77.15604359
9/1/1990,78.99930838
10/1/1990,100
11/1/1990,100
12/1/1990,100
1/1/1991,100
2/1/1991,100
3/1/1991,100
4/1/1991,100
5/1/1991,100
6/1/1991,95.66347581
7/1/1991,83.40793647
8/1/1991,77.91678001
9/1/1991,96.86145801
10/1/1991,100
11/1/1991,88.92229104
12/1/1991,100
1/1/1992,100
2/1/1992,100
3/1/1992,100
4/1/1992,94.73942784
5/1/1992,99.04722051
6/1/1992,92.03410376
7/1/1992,80.83439797
8/1/1992,87.96757323
9/1/1992,92.36171445
10/1/1992,100
11/1/1992,100
12/1/1992,100
1/1/1993,100
2/1/1993,100
3/1/1993,100
4/1/1993,100
5/1/1993,86.6811362
6/1/1993,82.53012624
7/1/1993,75.22784719
8/1/1993,75.51817447
9/1/1993,87.58981515
10/1/1993,100
11/1/1993,100
12/1/1993,100
1/1/1994,94.15736337
2/1/1994,100
3/1/1994,100
4/1/1994,100
5/1/1994,83.47838365
6/1/1994,79.05531951
7/1/1994,80.06209636
8/1/1994,73.99045268
9/1/1994,72.9916645
10/1/1994,89.07589811
11/1/1994,100
12/1/1994,97.5129493
1/1/1995,100
2/1/1995,100
3/1/1995,100
4/1/1995,88.57430685
5/1/1995,100
6/1/1995,81.76816638
7/1/1995,82.77869018
8/1/1995,82.44349215
9/1/1995,99.38058674
10/1/1995,90.07537296
11/1/1995,94.8500204
12/1/1995,100
1/1/1996,100
2/1/1996,100
3/1/1996,100
4/1/1996,100
5/1/1996,90.79388284
6/1/1996,96.86002793
7/1/1996,82.01114016
8/1/1996,77.92165236
9/1/1996,81.87864473
10/1/1996,100
11/1/1996,100
12/1/1996,95.76717928
1/1/1997,100
2/1/1997,100
3/1/1997,100
4/1/1997,100
5/1/1997,93.55131109
6/1/1997,86.2382176
7/1/1997,85.89274798
8/1/1997,80.16440404
9/1/1997,79.536203
10/1/1997,100
11/1/1997,100
12/1/1997,100
1/1/1998,100
2/1/1998,100
3/1/1998,100
4/1/1998,100
5/1/1998,100
6/1/1998,85.37172402
7/1/1998,77.28677545
8/1/1998,72.78556197
9/1/1998,79.08595803
10/1/1998,90.12429817
11/1/1998,100
12/1/1998,100
1/1/1999,100
2/1/1999,100
3/1/1999,100
4/1/1999,100
5/1/1999,86.68688967
6/1/1999,78.11457334
7/1/1999,76.49076411
8/1/1999,78.02893076
9/1/1999,83.7093094
