Date,rcp8.5
1/1/1980,85.006
2/1/1980,128.322
3/1/1980,19.992
4/1/1980,74.637
5/1/1980,128.407
6/1/1980,4.485
7/1/1980,44.111
8/1/1980,7.697
9/1/1980,5.981
10/1/1980,191.165
11/1/1980,70.219
12/1/1980,101.936
1/1/1981,93.128
2/1/1981,71.182
3/1/1981,79.904
4/1/1981,71.489
5/1/1981,65.187
6/1/1981,5.891
7/1/1981,7.364
8/1/1981,19.374
9/1/1981,192.254
10/1/1981,60.163
11/1/1981,75.414
12/1/1981,177.595
1/1/1982,88.857
2/1/1982,75.062
3/1/1982,30.474
4/1/1982,194.892
5/1/1982,37.951
6/1/1982,19.932
7/1/1982,21.498
8/1/1982,28.397
9/1/1982,27.257
10/1/1982,92.727
11/1/1982,107.943
12/1/1982,8.132
1/1/1983,45.716
2/1/1983,113.414
3/1/1983,81.612
4/1/1983,123.625
5/1/1983,74.086
6/1/1983,32.346
7/1/1983,7.325
8/1/1983,11.166
9/1/1983,78.951
10/1/1983,61.915
11/1/1983,95.544
12/1/1983,82.041
1/1/1984,102.879
2/1/1984,77.765
3/1/1984,112.578
4/1/1984,18.163
5/1/1984,52.846
6/1/1984,4.286
7/1/1984,30.834
8/1/1984,17.766
9/1/1984,14.261
10/1/1984,63.363
11/1/1984,64.627
12/1/1984,30.315
1/1/1985,87.458
2/1/1985,98.156
3/1/1985,191.124
4/1/1985,72.263
5/1/1985,64.101
6/1/1985,87.605
7/1/1985,41.051
8/1/1985,27.627
9/1/1985,27.851
10/1/1985,103.102
11/1/1985,113.114
12/1/1985,10.74
1/1/1986,110.833
2/1/1986,82.634
3/1/1986,50.717
4/1/1986,130.69
5/1/1986,28.272
6/1/1986,49.468
7/1/1986,17.082
8/1/1986,2.58
9/1/1986,73.875
10/1/1986,75.542
11/1/1986,95.906
12/1/1986,101.373
1/1/1987,203.18
2/1/1987,90.07
3/1/1987,145.655
4/1/1987,65.647
5/1/1987,179.433
6/1/1987,8.79
7/1/1987,27.11
8/1/1987,24.06
9/1/1987,53.172
10/1/1987,52.812
11/1/1987,77.073
12/1/1987,109.365
1/1/1988,73.039
2/1/1988,47.051
3/1/1988,130.53
4/1/1988,99.593
5/1/1988,63.097
6/1/1988,3.598
7/1/1988,53.272
8/1/1988,24.851
9/1/1988,3.457
10/1/1988,74.944
11/1/1988,84.642
12/1/1988,66.396
1/1/1989,157.793
2/1/1989,151.192
3/1/1989,147.771
4/1/1989,51.012
5/1/1989,43.003
6/1/1989,53.537
7/1/1989,39.426
8/1/1989,11.545
9/1/1989,38.346
10/1/1989,103.68
11/1/1989,9.485
12/1/1989,73.091
1/1/1990,54.819
2/1/1990,37.282
3/1/1990,152.03
4/1/1990,120.56
5/1/1990,46.284
6/1/1990,18.627
7/1/1990,2.258
8/1/1990,35.56
9/1/1990,88.315
10/1/1990,70.804
11/1/1990,78.907
12/1/1990,25.517
1/1/1991,106.866
2/1/1991,67.223
3/1/1991,107.908
4/1/1991,161.425
5/1/1991,59.86
6/1/1991,11.506
7/1/1991,25.244
8/1/1991,4.62
9/1/1991,31.919
10/1/1991,71.876
11/1/1991,22.553
12/1/1991,58.051
1/1/1992,66.638
2/1/1992,89.073
3/1/1992,59.984
4/1/1992,103.09
5/1/1992,50.968
6/1/1992,45.769
7/1/1992,30.705
8/1/1992,28.742
9/1/1992,53.148
10/1/1992,118.678
11/1/1992,27.443
12/1/1992,45.295
1/1/1993,128.307
