Date,rcp2.3
1/1/1980,37.933
2/1/1980,48.156
3/1/1980,10.986
4/1/1980,46.186
5/1/1980,96.752
6/1/1980,2.944
7/1/1980,29.324
8/1/1980,4.829
9/1/1980,3.269
10/1/1980,101.062
11/1/1980,38.009
12/1/1980,48.457
1/1/1981,40.255
2/1/1981,26.834
3/1/1981,37.393
4/1/1981,39.441
5/1/1981,48.74
6/1/1981,3.483
7/1/1981,4.25
8/1/1981,11.92
9/1/1981,122.394
10/1/1981,31.064
11/1/1981,41.919
12/1/1981,85.695
1/1/1982,38.516
2/1/1982,27.984
3/1/1982,13.253
4/1/1982,116.087
5/1/1982,27.955
6/1/1982,16.143
7/1/1982,13.455
8/1/1982,19.321
9/1/1982,14.672
10/1/1982,47.076
11/1/1982,57.787
12/1/1982,3.441
1/1/1983,20.34
2/1/1983,43.831
3/1/1983,38.045
4/1/1983,74.19
5/1/1983,55.387
6/1/1983,26.675
7/1/1983,5.113
8/1/1983,7.702
9/1/1983,50.047
10/1/1983,30.173
11/1/1983,50.89
12/1/1983,39.199
1/1/1984,45.236
2/1/1984,29.333
3/1/1984,54.415
4/1/1984,10.685
5/1/1984,36.964
6/1/1984,2.934
7/1/1984,21.821
8/1/1984,12.831
9/1/1984,10.017
10/1/1984,32.808
11/1/1984,34.216
12/1/1984,15.418
1/1/1985,38.58
2/1/1985,38.318
3/1/1985,94.756
4/1/1985,44.133
5/1/1985,48.163
6/1/1985,67.585
7/1/1985,27.018
8/1/1985,16.89
9/1/1985,16.176
10/1/1985,54.162
11/1/1985,61.118
12/1/1985,5.387
1/1/1986,49.411
2/1/1986,30.928
3/1/1986,23.729
4/1/1986,79.062
5/1/1986,19.823
6/1/1986,39.094
7/1/1986,11.183
8/1/1986,1.603
9/1/1986,46.632
10/1/1986,37.537
11/1/1986,49.032
12/1/1986,49.042
1/1/1987,93.474
2/1/1987,35.489
3/1/1987,71.632
4/1/1987,41.007
5/1/1987,134.575
6/1/1987,6.593
7/1/1987,18.46
8/1/1987,17.327
9/1/1987,33.066
10/1/1987,27.888
11/1/1987,40.444
12/1/1987,52.645
1/1/1988,31.959
2/1/1988,16.564
3/1/1988,63.447
4/1/1988,60.463
5/1/1988,47.858
6/1/1988,2.284
7/1/1988,37.551
8/1/1988,16.304
9/1/1988,2.034
10/1/1988,38.45
11/1/1988,44.197
12/1/1988,31.764
1/1/1989,70.922
2/1/1989,56.857
3/1/1989,73.096
4/1/1989,26.408
5/1/1989,30.185
6/1/1989,43.153
7/1/1989,25.596
8/1/1989,6.927
9/1/1989,24.145
10/1/1989,54.885
11/1/1989,5.25
12/1/1989,35.201
1/1/1990,24.122
2/1/1990,12.796
3/1/1990,78.107
4/1/1990,72.291
5/1/1990,32.523
6/1/1990,13.188
7/1/1990,1.661
8/1/1990,23.958
9/1/1990,57.157
10/1/1990,36.944
