Date,rcp2.3
1/1/1980,2.387
2/1/1980,2.11
3/1/1980,1.741
4/1/1980,2.175
5/1/1980,2.864
6/1/1980,2.34
7/1/1980,2.029
8/1/1980,1.594
9/1/1980,1.697
10/1/1980,2.249
11/1/1980,1.999
12/1/1980,2.914
1/1/1981,2.865
2/1/1981,2.294
3/1/1981,2.463
4/1/1981,2.221
5/1/1981,2.135
6/1/1981,1.908
7/1/1981,2.003
8/1/1981,1.703
9/1/1981,2.941
10/1/1981,2.068
11/1/1981,2.389
12/1/1981,1.774
1/1/1982,2.439
2/1/1982,2.976
3/1/1982,2.588
4/1/1982,2.492
5/1/1982,1.958
6/1/1982,2.352
7/1/1982,1.708
8/1/1982,2.029
9/1/1982,1.697
10/1/1982,1.287
11/1/1982,2.426
12/1/1982,2.554
1/1/1983,2.439
2/1/1983,2.117
3/1/1983,2.023
4/1/1983,2.596
5/1/1983,2.235
6/1/1983,2.344
7/1/1983,2.003
8/1/1983,1.806
9/1/1983,2.39
10/1/1983,2.287
11/1/1983,2.829
12/1/1983,1.998
1/1/1984,3.107
2/1/1984,2.69
3/1/1984,2.103
4/1/1984,2.165
5/1/1984,2.151
6/1/1984,2.352
7/1/1984,1.615
8/1/1984,1.388
9/1/1984,1.782
10/1/1984,2.907
11/1/1984,2.629
12/1/1984,2.807
1/1/1985,2.865
2/1/1985,2.204
3/1/1985,2.578
4/1/1985,2.163
5/1/1985,2.864
6/1/1985,3.033
7/1/1985,1.311
8/1/1985,2.102
9/1/1985,2.328
10/1/1985,1.962
11/1/1985,2.653
12/1/1985,3.015
1/1/1986,2.6
2/1/1986,2.949
3/1/1986,2.023
4/1/1986,2.175
5/1/1986,1.509
6/1/1986,2.155
7/1/1986,1.615
8/1/1986,2.227
9/1/1986,2.115
10/1/1986,2.202
11/1/1986,1.891
12/1/1986,2.527
1/1/1987,3.135
2/1/1987,2.435
3/1/1987,1.741
4/1/1987,3.147
5/1/1987,2.706
6/1/1987,2.812
7/1/1987,1.786
8/1/1987,1.575
9/1/1987,2.165
10/1/1987,2.066
11/1/1987,2.629
12/1/1987,2.574
1/1/1988,2.206
2/1/1988,2.321
3/1/1988,2.427
4/1/1988,2.544
5/1/1988,2.53
6/1/1988,2.215
7/1/1988,1.547
8/1/1988,1.529
9/1/1988,2.39
10/1/1988,2.22
11/1/1988,1.704
12/1/1988,2.108
1/1/1989,2.149
2/1/1989,2.435
3/1/1989,2.485
4/1/1989,1.988
5/1/1989,2.267
6/1/1989,3.05
7/1/1989,2.293
8/1/1989,2.181
9/1/1989,2.941
10/1/1989,2.054
11/1/1989,2.275
12/1/1989,2.418
1/1/1990,2.149
2/1/1990,1.716
3/1/1990,2.103
4/1/1990,2.425
5/1/1990,2.864
6/1/1990,2.352
7/1/1990,1.837
8/1/1990,1.527
9/1/1990,2.108
10/1/1990,1.846
11/1/1990,2.496
12/1/1990,2.138
1/1/1991,2.865
2/1/1991,2.118
3/1/1991,2.023
4/1/1991,2.544
5/1/1991,1.871
6/1/1991,2.155
7/1/1991,1.853
8/1/1991,1.514
9/1/1991,2.115
10/1/1991,2.349
11/1/1991,1.803
12/1/1991,3.359
1/1/1992,2.14
2/1/1992,2.941
3/1/1992,2.736
4/1/1992,2.544
5/1/1992,2.466
6/1/1992,2.644
7/1/1992,1.615
8/1/1992,2.04
9/1/1992,2.328
10/1/1992,1.846
11/1/1992,2.36
12/1/1992,2.138
1/1/1993,2.14
2/1/1993,1.989
3/1/1993,2.893
4/1/1993,2.285
5/1/1993,2.322
6/1/1993,2.228
7/1/1993,1.547
8/1/1993,2.753
9/1/1993,1.957
10/1/1993,2.22
11/1/1993,2.358
12/1/1993,3.207
1/1/1994,2.206
2/1/1994,2.388
3/1/1994,3.091
4/1/1994,1.852
5/1/1994,2.401
6/1/1994,2.389
7/1/1994,2.293
8/1/1994,1.575
9/1/1994,1.938
10/1/1994,1.962
11/1/1994,2.426
12/1/1994,2.449
1/1/1995,1.742
2/1/1995,2.109
3/1/1995,1.741
4/1/1995,1.93
5/1/1995,2.515
6/1/1995,2.228
7/1/1995,1.667
8/1/1995,1.388
9/1/1995,1.98
10/1/1995,2.349
11/1/1995,2.389
12/1/1995,2.449
1/1/1996,3.107
2/1/1996,1.996
3/1/1996,2.578
4/1/1996,2.732
5/1/1996,2.515
6/1/1996,1.951
7/1/1996,1.695
8/1/1996,1.234
9/1/1996,2.791
10/1/1996,2.287
11/1/1996,2.496
12/1/1996,3.359
1/1/1997,2.6
2/1/1997,2.396
3/1/1997,2.063
4/1/1997,2.053
