Date,rcp2.3
1/1/1980,2.38
2/1/1980,2.115
3/1/1980,1.748
4/1/1980,2.183
5/1/1980,2.904
6/1/1980,2.351
7/1/1980,2.002
8/1/1980,1.528
9/1/1980,1.711
10/1/1980,2.24
11/1/1980,2.036
12/1/1980,2.914
1/1/1981,2.813
2/1/1981,2.277
3/1/1981,2.468
4/1/1981,2.214
5/1/1981,2.133
6/1/1981,1.913
7/1/1981,2.018
8/1/1981,1.722
9/1/1981,2.973
10/1/1981,2.052
11/1/1981,2.38
12/1/1981,1.756
1/1/1982,2.456
2/1/1982,2.946
3/1/1982,2.544
4/1/1982,2.504
5/1/1982,1.967
6/1/1982,2.333
7/1/1982,1.69
8/1/1982,2.068
9/1/1982,1.711
10/1/1982,1.293
11/1/1982,2.404
12/1/1982,2.543
1/1/1983,2.456
2/1/1983,2.166
3/1/1983,2.048
4/1/1983,2.608
5/1/1983,2.232
6/1/1983,2.383
7/1/1983,2.018
8/1/1983,1.794
9/1/1983,2.375
10/1/1983,2.287
11/1/1983,2.827
12/1/1983,2.006
1/1/1984,3.072
2/1/1984,2.66
3/1/1984,2.107
4/1/1984,2.158
5/1/1984,2.175
6/1/1984,2.333
7/1/1984,1.593
8/1/1984,1.363
9/1/1984,1.81
10/1/1984,2.847
11/1/1984,2.572
12/1/1984,2.744
1/1/1985,2.813
2/1/1985,2.215
3/1/1985,2.547
4/1/1985,2.189
5/1/1985,2.904
6/1/1985,3.038
7/1/1985,1.288
8/1/1985,2.189
9/1/1985,2.303
10/1/1985,1.991
11/1/1985,2.61
12/1/1985,2.98
1/1/1986,2.589
2/1/1986,2.914
3/1/1986,2.048
4/1/1986,2.183
5/1/1986,1.526
6/1/1986,2.188
7/1/1986,1.593
8/1/1986,2.189
9/1/1986,2.113
10/1/1986,2.201
11/1/1986,1.87
12/1/1986,2.54
1/1/1987,3.098
2/1/1987,2.397
3/1/1987,1.748
4/1/1987,3.114
5/1/1987,2.688
6/1/1987,2.86
7/1/1987,1.766
8/1/1987,1.568
9/1/1987,2.15
10/1/1987,2.065
11/1/1987,2.572
12/1/1987,2.575
1/1/1988,2.185
2/1/1988,2.316
3/1/1988,2.456
4/1/1988,2.544
5/1/1988,2.568
6/1/1988,2.22
7/1/1988,1.542
8/1/1988,1.562
9/1/1988,2.375
10/1/1988,2.233
11/1/1988,1.714
12/1/1988,2.117
1/1/1989,2.124
2/1/1989,2.397
3/1/1989,2.473
4/1/1989,2.011
5/1/1989,2.282
6/1/1989,2.985
7/1/1989,2.349
8/1/1989,2.148
9/1/1989,2.973
10/1/1989,2.087
11/1/1989,2.229
12/1/1989,2.421
1/1/1990,2.124
2/1/1990,1.718
3/1/1990,2.107
4/1/1990,2.411
5/1/1990,2.904
6/1/1990,2.333
7/1/1990,1.827
8/1/1990,1.561
9/1/1990,2.099
10/1/1990,1.875
11/1/1990,2.515
12/1/1990,2.127
1/1/1991,2.813
2/1/1991,2.158
3/1/1991,2.048
4/1/1991,2.544
5/1/1991,1.925
6/1/1991,2.188
7/1/1991,1.905
8/1/1991,1.52
9/1/1991,2.113
10/1/1991,2.364
11/1/1991,1.811
12/1/1991,3.334
1/1/1992,2.114
2/1/1992,2.924
3/1/1992,2.75
4/1/1992,2.544
